domain,MX_found,SPF,SPF_valid,SPF_secure,DMARC,DMARC_valid,DMARC_secure,DKIM,DKIM_selector,DKIM_valid,DNSSEC_signed
convenios.gov.br,False,,False,False,,False,False,,,False,False
convensi.gov.br,True,v=spf1 include:_spf.locaweb.com.br ?all,True,False,,False,False,,,False,False
copatransparente.gov.br,False,,False,False,,False,False,,,False,False
corecongo.gov.br,True,v=spf1 a mx include:websitewelcome.com include:_spf.kmitd.com ip4:189.85.86.109 ~all,True,True,,False,False,"v=DKIM1; k=rsa; p=MIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEA3YvKzJgDcnQg8UDylLSoAMqzBOPN1SklVQDa0VkaD8tnPKnfJDwL/EBJ9Zvhyo52Tub2iZw9TG6ZdvPPt4ESwXwYD3FmbrnhI9I8nGfFVRtGYN2IBlTFTdQCsmKx3RzJdpmDbzUjomwNMzHNSv+MSOYjoWq0skn8GI/HEjwWllwPaC6t7iEmeX1ZRx2qR7zCO"" ""K6xMnyhyz0CjDdPIHMEY0Q+3kCd4Vr0SmZvCt7J6AjlU4VHrlAOFz+wizfNA9ZYf2NLKZZABRO2FsDEvm+OI3kj4NszBKQVcxZqC1rI3VPKCMPQODnFwt+f/6/9q+pUH4M5LECFObw7y0zxvoANCwIDAQAB;",default,True,False
coreconpe.gov.br,True,v=spf1 +a +mx +ip4:162.241.61.185 +include:websitewelcome.com +ip4:189.85.86.109 -all,True,True,v=DMARC1; p=none;,True,False,"v=DKIM1; k=rsa; p=MIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEAxkuzCNvUi6aNS9iP6NUhTElUokGNQ5evdFV7lIeSpy00BzvjzO/GLoWebu6mA7lWrRuZ0eoS87oLFx5IA+mZM36z+ZRRlCQmMHcRHXFhP+L5a4zpqRWRV/0Db7WaMiwnvNujToQ9wg7/bQ6P5CDeJl/sqALuX4ssYTcYhSyWH7v5WxdMnCBzaGLbMTths+m5C"" ""66X4gL8uxTd/UxRLt0vgO8ukyvWukFxaSZcWsQzIQkuM2irWdhbBaDPLSKG+cYjP/QBRKd1b/K+gaqz56njSY/Sg57KAT3iYeNeSb9aGhpJKsvRSRo+sXNZKVU5V35wDyG4S5t7U0UPXxsWoApkYQIDAQAB;",default,True,False
coreconpr.gov.br,True,v=spf1 mx a:scfe15.cofecon.org.br ip4:189.85.86.109 include:_spf.locaweb.com.br -all,True,True,v=DMARC1; p=none;,True,False,,,False,False
coreconrr.gov.br,False,,False,False,,False,False,,,False,False
coreconsp.gov.br,True,v=spf1 ip4:162.240.98.107 ip4:162.240.161.58 +a +mx +ip4:162.214.190.91 include:_spf.rdstation.com.br include:sendgrid.net ~all,True,True,v=DMARC1; p=none; rua=mailto:dmarc@coreconsp.gov.br; ruf=mailto:dmarc@coreconsp.gov.br; rf=afrf; pct=100,True,False,"v=DKIM1; k=rsa; p=MIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEA4Z3o7Tg2UDm40KfZ8JGohf8IlaBWVQrXiTp1dwEsAtxEXiNzAI/F8zKdU6QHiZ7JC2+QG1Zc5dOY6To4RwZOuAsi+70gBFJSZvdoB/Edx74OcN0qj8nrMdln3Rm4RVMsoIm9T9N4jn6o7g8sphY5EoJZUFdnckLuKvoe6zuEC8s40GQI9bP+l2AO9wAxhHurp"" ""6XpFP+W8hc5D/CJP3cbdmOejpDEx/9Q5Bi+NgF5h2qCdC3xvL0/N36ldCV1Oy+ZPK1JHasrtpqao9k15al9ED1OUEUrOf6C1HKwSJR2qA0RSZKM1yjDa/7ASwiS37gKJtLz6sXdAR9agJPW3S2xNQIDAQAB;",default,True,False
coredopiaui.gov.br,False,,False,False,,False,False,,,False,False
coren-ap.gov.br,True,v=spf1 ip4:45.178.224.0/23 a mx include:websitewelcome.com ~all,True,True,v=DMARC1; p=none;,True,False,"v=DKIM1; k=rsa; p=MIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEApPL9JGfO7bbOwgFbVKgX6RJrrve2YIaAp7tq4iR3kqr2lriuwPUcGBxrxfuQ5PTGv7EdUlEklgHEF+yC+4ieLRscl8i0961qj5qWD13W7uo9ZpssNKTMToqln5yI95KoKMvGocxQO/MW/ZgvBoRjeC/dR/YcsfeIHop0CfmxOk0lDFKdm4Rqpbj+cDiKMz5uD"" ""jf1Ov8yks6b9aUXMFmsn3H29jymKEFDyfNerUQGsaKWPPQPfnkFPri1UFKL2NQSQDcKeBhT293ASSieJa/qWerGJ+stTBsHp1FHosqBWaDlDcDWsbZu8kTGdyvFZxhj/uLNLlS9t5yPLcrJDl7tlwIDAQAB;",default,True,False
coren-ba.gov.br,True,,False,False,,False,False,,,False,False
coren-df.gov.br,True,v=spf1 mx a ip4:177.73.68.52 ip4:177.73.68.68 ip4:52.55.48.222 ip4:34.232.250.42 ip4:207.38.82.248 ip4:44.226.0.103 ip4:3.135.119.94 ip4:3.14.208.217 include:_spf.atlassian.net include:_spf.mail.hostinger.com include:sendgrid.net ~all,True,True,v=DMARC1; p=none; rua=mailto:postmaster@coren-df.gov.br; ruf=mailto:postmaster@coren-df.gov.br; fo=1,True,False,"v=DKIM1; k=rsa; p=MIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEAp8z6DvtbgdWcLz2ofBSYj5phvm/VLYRHMCGJEWK8TBDJY/GXaetO66y8QqHphFTzh6b/AfwqDmE1pp5NEx/7fT40JF6mwZeQmW92tLTZ5A/l91DNOkIZUNqRhLKMJf1anvRmwS0h5XbD6gYJtOm5ZnBwdzjl9YzPgb4KNUGgxFiVqz9g60+RdJ+gY0raXnXTW"" ""3ebWHjKFFHRqY0m70nDjzuVRfuF29O4tXLhiMPBNbVlf9P8CE3q9GhOwULXm6I6tGZW6FCHLIYJPj6klluhlUHa0i2N1lbir3XqNAF8NVN0QnaPOrcud7Sp5KfqTBVubb7uKAIJROZQrd4SuzhxhQIDAQAB;",default,True,False
coren-mg.gov.br,True,v=spf1 +a +mx +ip4:213.32.17.239 +include:_spf.rdstation.com.br +include:infraxgroup.com.br +ip4:192.99.30.160/28 ~all,True,True,v=DMARC1; p=none; rua=mailto:abuse@coren-mg.gov.br,True,False,v=DKIM1; k=rsa; p=MIGfMA0GCSqGSIb3DQEBAQUAA4GNADCBiQKBgQCx8nMkpI3iyr+pA1v9kmESDq+LLLqiaFPEISUWigjqnKXfmgqS9OG+jWTbKoRhX0y+FUNRDSA5gl3IxYOxi6HN9fia3INbyYihqOPKpQOX2gyYEnh0UGm8GsEuK7uv7gU4hFeV9lo5n7Pv+48jriZZV54U/hOcSHkpf8KPk/fVswIDAQAB,default,True,False
coren-mt.gov.br,True,v=spf1 include:_spf.locaweb.com.br ip4:45.178.224.0/23 -all,True,True,v=DMARC1; p=none; rua=mailto:228326b0c7d7480caade537e4d0b92aa@dmarc-reports.cloudflare.net;,True,False,,,False,False
coren-pb.gov.br,False,,False,False,,False,False,,,False,False
coren-pe.gov.br,True,v=spf1 a mx ip4:45.232.28.46 ip4:162.240.220.15 ip4:45.178.224.0/23 include:_spf.google.com include:spf.mailjet.com include:_spf.correionacional.com.br -all,True,True,v=DMARC1; p=quarantine; sp=quarantine; adkim=r; aspf=r; pct=100; fo=1; rf=afrf; ri=86400; rua=mailto:postmaster@coren-pe.gov.br; ruf=mailto:postmaster@coren-pe.gov.br,True,True,"v=DKIM1; k=rsa; p=MIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEA9NsUN2swRf1502lH4Zh0lqOqBREEU/WSQiWIKXJK/VZFAZX4my9etmG12yol5MW8rd/x2Jq+aKwKpzE4p19ByhNWU1uk65nuQ+J7SyMEw0KXl1APAah0pxiv2HfOyrDl78S9AAk99gm1dVKRuomfbTAJAtDaa/STxTUJRpNV3nd8yacPDXLJtUBx/OsMG8k8r"" ""etY8ks+9WKDaLFN7eSl+xeXtAdD1SyLuaaEogDnuVtDpzbZOvePhh+4QykkiKi/pdmGb4mnGPC9g0nPIAtZmWjY41WTfCQcsBjmBni3C7adEX8+eCl6cMQct97vYlAOsdWcO53Q4ZiZ9E83NluAUwIDAQAB;",default,True,False
coren-rj.gov.br,False,,False,False,,False,False,,,False,False
coren-se.gov.br,True,v=spf1 ip4:177.47.187.0/26 ip4:177.47.177.0/26 ip4:177.47.182.0/26 ip4:177.47.183.0/26 ip4:187.45.202.75 ip4:177.153.8.103 ip4:161.148.21.192/26 ip4:161.148.50.192/26 ip4:45.178.224.0/23 -all,True,True,v=DMARC1; p=none,True,False,v=DKIM1; k=rsa; p=MIGfMA0GCSqGSIb3DQEBAQUAA4GNADCBiQKBgQDBdvMIoNcOXTtinPMh29wC3zeAvAiTFTJLO6QW9hTC7nfSnHugcPVW+Lp6lpSFrU6Howor2mgTlXEzNgwtl863hqk+2HjQBUjVI3XQ6q07fAVRVFn4j1ttn459C0Y1h1lGqEUmL9B/2zKLrxsbxuQgv+tW3QVIAbIDdtJbkhS2GQIDAQAB,default,True,False
coren-sp.gov.br,True,v=spf1 include:spf.protection.outlook.com -all,True,True,v=DMARC1; p=quarantine; rua=mailto:dmarc@coren-sp.gov.br; sp=none; ri=86400,True,True,"v=DKIM1; k=rsa; p=MIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEAt8nF0+cA8ByMZikY+oAOJW1hbFhXkGskJhk+dvbdzlHa1mLZOq6RavJfdx8noch83bOssctunX3ITevRu71xWFcvrs3/f9SgdKJRaPBe2m7ZF/mqSgOehoVFb2Gg2U19WgIJahJJx00hCQD/DF+vbVdaZaCk+uXG4SoPeSgUmQxucf+icNXbCJ20tkmw2r9ul"" ""3q4JVFI/lM6TQbP2mgGgccggbBdERIcY+V3m699w85h2G25rM0SwQ7iaVy4oiu6gdRpFwSWm5dQlLHGm9fjchymdqZ8qMy0epjf8QhDIeMYP+BtemK9u7QfHFiCHzPG1ncy6tI7KKCYwL1cPaDmuQIDAQAB;",selector1,True,True
corenac.gov.br,False,,False,False,,False,False,,,False,False
corenam.gov.br,True,v=spf1 include:_spf.google.com ip4:45.178.224.0/23 ~all,True,True,v=DMARC1;p=none;,True,False,,,False,True
corenma.gov.br,True,v=spf1 mx a include:spf.whservidor.com include:spf.infraxgroup.com.br ip4:178.238.225.65 ip4:65.109.111.240 ip4:49.13.221.216 ip4:45.178.224.0/23 include:spf.homemurbano.com.br ~all,True,True,v=DMARC1; p=none,True,False,"k=rsa; t=s; p=MIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEA6AoAb0bMi0M237h+og7n5qYg88AxcpqylsVL5cvVeDv0orTBByRfPiRuz/hS/4MDZc5nVXDjPn3wqWrOpzJv+x0f/Uz9hOE3lAnGJt0XMb54kXofVIRiseUWXBkBSRBEC1jnakTB0kwC/6xjMrSfdPb6K7S2vZeH5mAYPQDioHFdpHlNNvoK/dtYZQ+R4F1nEAxTR"" ""IRVhNdBYxBpqS797MEJ13ERJFcuuZknFOEgUFD1ArT8AypCmA6QcWHT2uOnFPD5k3HDWCjgKmIUbvC7YD92gj76XbKEkZYSFQFCpzRhWflGX2Yj8xHixuk/ZybBz61A94X2dEl445gFvWTwYwIDAQAB",s1,True,False
corenmg.gov.br,True,v=spf1 ip4:124.81.101.173 include:pensomail.com.br -all,True,True,v=DMARC1; p=quarantine; sp=quarantine; adkim=s; aspf=s; rua=mailto:f9cxej3cvf@rua.powerdmarc.com; ruf=mailto:f9cxej3cvf@ruf.powerdmarc.com; pct=100;,True,True,"v=DKIM1; k=rsa; p=MIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEAuNSzotTp0Hf3/BkqSZrNycKgU8QkKhNU18foyEr+MKadzPxOA6JiN7ehYvzp1+7MBws6FS2LFeBgN6xVqRHCacZEYr0DQe8Yt8HTx7ujIVNkItGft9UwE8/k+E3FQfmERQ7WbPghv8R52C3r07QmAfhHCIHOie3HUY7vUVQ7FQVvceX83R3ofJLxmLE3+GizW"" ""39cTiOR3vB7KmMpNj6+W8tDP9MMSM4dA+APiOD4/iADwztY2"" ""+ODvrqke6vSy1CGIntNXuBPFuByWsVrzYprLDaczCuEpskVzjWyxENeJmM8zarIaP3RZLS0yfGFXJeurGl/fRFFHpuI938bHv51tQIDAQAB",default,True,False
corenms.gov.br,True,v=spf1 include:_spf.maxx.mobi include:_spf.admincontrolpanel.com ip4:144.217.100.128/27 ip4:192.99.94.176/28 ip4:45.178.224.0/23 ~all,True,True,v=DMARC1; p=none,True,False,v=DKIM1; g=*; k=rsa; p=MIGfMA0GCSqGSIb3DQEBAQUAA4GNADCBiQKBgQDKMiRsANDmf793kaFul+LJ5gJhTMRQmAwGpxP4Y16hJFdarD6luJ1JAkuwWJyz9JpLwTTHMN9m75wx3ZvQUKBeOaqUWGJuwcKuTuDIj20AIQoq/b8ApEs1o/I3FT5krboeclZ64fzDx4dDi8GOnW7zIrg3VK0GE2bpxkVF5/kDMQIDAQAB,default,True,False
corenpb.gov.br,True,v=spf1 ip4:45.178.224.0/23 include:_spf.admincontrolpanel.com ~all,True,True,v=DMARC1; p=none;,True,False,,,False,False
corenpr.gov.br,True,v=spf1 include:_spf.google.com include:amazonses.com ~all,True,True,v=DMARC1; p=quarantine; rua=mailto:ctrl.domain@corenpr.gov.br,True,True,v=DKIM1; k=rsa; p=MIGfMA0GCSqGSIb3DQEBAQUAA4GNADCBiQKBgQCcfoHywRwXLLC/VwnR4wbr8J8AsvtWBQLlzlZubeTP1P4Ix1orkFv5g6t0v4dNqVxFkAIP4YJMU1MhV3XbNsVA3mkhjK4iPX3VNe4SHyhQrGJcNm5oX1TUxYXmTZBU50aZUJlqD2Z9UeRGnF05+IooUvGFKaOXdn6PkZEMD/K6hwIDAQAB,google,True,True
corenrj.gov.br,False,,False,False,,False,False,,,False,False
corensc.gov.br,True,v=spf1 ip4:168.181.70.251 ip4:201.55.98.58 a mx ~all,True,True,v=DMARC1; p=quarantine; sp=reject; pct=100; aspf=r; adkim=s; rua=mailto:abuse@corensc.gov.br,True,True,k=rsa; t=y; p=MIGfMA0GCSqGSIb3DQEBAQUAA4GNADCBiQKBgQDwvQ7Zs5XRRJ9M9NiYKENL/rZn0zbOc+Lc8OOu946C0PXJXZf/ub+TpC4gnebHgQ3Caop/lq4K9Wvl3CFHGzcTePJfKKjoD2st120JTvJr670tsDCl7K2eEuG6+FhriwCKPTilCRVBF31AUcYuSWysLLna472iGTZ7fPiWwxln/QIDAQAB,dkim,True,False
corensp.gov.br,True,v=spf1 include:amazonses.com ip4:201.16.179.9 ip4:201.16.179.10 ip4:201.49.109.38 ip4:201.49.109.39 ip4:45.178.224.0/23 -all,True,True,v=DMARC1; p=quarantine; adkim=s; aspf=s; rua=mailto:alertas@corensp.gov.br; ruf=mailto:alertas@corensp.gov.br; fo=1,True,True,"v=DKIM1; h=sha256; k=rsa; p=MIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEA2w49udGpSSMdsD/4exjqXtNPOELu8xVZcTTYYUda7rIBLqXwxy4Ax8hYl/tXan6FBFyIGQX+OA5XLlgQue6X47bT52aiAB+eI+ER3SD2Kt4hFgwV6GavSw9PEUTL0onPsJca5efaUP"" ""t/wVA3lxGYHH1viFXqNWoZAaANxVT8eB3fNffrr71UAkFX0DCbi2xYifKjgHbssYy++8sU79RT1p9pAkt71eqk5nfqzVKG3eYhScDuTozZW4wAfMn9LQbrXoPJvn+qmNVKMsgMhTxxA45+rkcaOZHybIt8CevUj8TA6jqxKg0oyIn6PFCAiUE9rvz0usXx760DmEMYwkQ4JwIDAQAB",mail,True,True
corregedorias.gov.br,False,,False,False,,False,False,,,False,False
correio.gov.br,False,,False,False,,False,False,,,False,False
correios-ce.gov.br,False,,False,False,,False,False,,,False,False
correios.gov.br,False,,False,False,,False,False,,,False,False
cortesmercosul.gov.br,False,,False,False,,False,False,,,False,False
cortesmercosur.gov.br,False,,False,False,,False,False,,,False,False
cp2.gov.br,True,v=spf1 include:spf.protection.outlook.com -all,True,True,v=DMARC1;p=quarantine;sp=quarantine;adkim=s;aspf=s;pct=100;fo=1;rf=afrf;ri=86400;rua=mailto:dmarc@cp2.g12.br;ruf=mailto:dmarc@cp2.g12.br,True,True,"v=DKIM1; k=rsa; p=MIGfMA0GCSqGSIb3DQEBAQUAA4GNADCBiQKBgQDxP/0X9fEnv8zqp5XVXlxpnTQNWKDJqT08S76JrkRPrtVqr5YS48j+zReIa4EIJ6+aScvxuZErjwKkQ1ZYgXrnR8y0NwGHnohJovm7k9nk7pdpck+vLSiQrW4FEA0rXL5J4LGXE0Z11I9/uKd1zOldN0FQldteDfrM8sJbOt6hwwIDAQAB; n=1024,1453640563,1"" ""469365363",selector1,True,False
cprm.gov.br,True,v=spf1 include:_spf.google.com include:publisher-pr.com include:mail.mailingboss.net -all,True,True,v=DMARC1; p=quarantine; pct=100; rua=mailto:postmaster@cprm.gov.br; adkim=r; aspf=r,True,True,"v=DKIM1; k=rsa; p=MIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEA1gBjIUTSRbWke1xV9qRx3x6SvaSU60NhcCu/5mKhoW8YJ7sdxTf7rVA1qJcL74tPL4JURZi4W6g87AlReUWCsQj8eCzkjwV6Pf3YqTLoOXNAm1rASSfCfZd8o/"" ""xL08CmLuhnhK+CrrTqrF7FQTzGS0Jpscr76JvV4q5Jo7TL7Lnrz8md/uB9ac/Zr5JjsRr0JdvI5a/KvWgQ8JuIXpH3Gt7d69xGRYbJdgIuCGJH2pdxTnFFeEJZtwVzR5IBidhppTLz2r/ZZ/7Xgd5jd572t1netko07UWwOC9/x2+ROmTvk7hnF5rOFPsLq/iV3OqZNlE7dQ8acg5ZU4nCyC75OwIDAQAB",google,True,False
cra-amrr.gov.br,False,,False,False,,False,False,,,False,False
cra-pr.gov.br,True,v=spf1 ip4:189.113.11.131 +a +mx +ip4:177.234.154.35 +include:websitewelcome.com ~all,True,True,,False,False,"v=DKIM1; k=rsa; p=MIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEAuJ881S/vFBT/l6+Jr42HofOtMbrRMTY2w9veZxwxcq7BaCAtEzvO7EHPDY5OZ0sL5SrkjY/+22a3v7ubi5QE5z4ebKzY+z7jxOQYJ6VltgJK+ZTvI5JnsMEfi3+hQwXNBM2SKiZiNJv98kvDHTQH3rFKaMLlhVlpWh4kLNszJ9wvGd8B5BjvMed6jBWnNdOaj"" ""0Q8gBCK9+41FFihhTkJNPPC8YaaWk/9IGGOteY8jErG4AOtcmi3a/RupkeVsHrk3GewChppWCnstAPWJ/6tcCZKk1hTL3zD3BXg+KvrTxfQHDGSwex5JQwzP06v3CTyXm+NYh6vXdGc7+3d2DRaqwIDAQAB;",default,True,False
crasp.gov.br,True,v=spf1 a mx +ip4:213.190.6.200 include:relay.mailchannels.net include:_spf.kmitd.com include:amazonses.com ~all,True,True,v=DMARC1;p=none;rua=mailto:ti@crasp.gov.br,True,False,"v=DKIM1; k=rsa; p=MIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEA1Sxooc1fs3YxK7+hZbiVuN3mMx4V93ceNZ291jwKOQo31kzqkiFmwjxtUyfL3zpxGt30GPgIYaR4cE0xgSVUHVESXYYj4L9ur23ooGsC/DaYCjTM9KR1Hbc5QkWMx6by80v/5bj+lxChbmkQUHllz4lNUd2bxSWMq6Q6WeNSDBFsVREOq1IQi4HKX7daXYokO"" ""2HIjlG9Ozj7sx0gWGUBVw9fn6WQta8MI8FvDQY/7PWLr2uSqdlmcwyTyrSjK8B8TFBh81xxXl+TesJLgtUYR1OGwEYRnraKfepLn55vOrtck/65gnfQDcsI++DsAObgdgpWSAQThevYUcoYPrj/vQIDAQAB;",default,True,False
crbio-02.gov.br,True,v=spf1 mx include:crbspf.crbio-02.gov.br include:_spf.locaweb.com.br include:17274.meuspf.com ?all,True,False,v=DMARC1; p=none;,True,False,,,False,False
crbio-03.gov.br,False,,False,False,,False,False,,,False,False
crbio-3.gov.br,False,,False,False,,False,False,,,False,False
crbio-4.gov.br,True,v=spf1 include:_spf.locaweb.com.br ?all,True,False,v=DMARC1; p=none;,True,False,,,False,False
crbio-7.gov.br,True,v=spf1 include:_spf.google.com ~all,True,True,v=DMARC1; p=quarantine; pct=100;,True,True,"v=DKIM1; k=rsa; p=MIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEA25fUS1csFQcxJLM2MizXlxMvPWRyfyW9yo6VVIxCk4L7B/5li+MpIEVhHIrQklXmt6njtx8/cfNfHiqc1Yt1S45Z+Q9SSvC1cSqCfl7qfjPEec0ZhSN9rhzsVIWVZ7ae6RYsKkUgnSeFofXmCJvsU0BFMb7MNuPvl5RmRB+y+TfD2qIXde2fDCSv5gOAK7X9s"" ""P+qy+zekS4puu7Q3RKZxt7v8R3xtmvuQ9aMpPGpypip1h6bbBq9WLn1imP1MTN1VcY6f/VPd42TG57uR9wrk9qKtwLVAaENopScIrnspHO5BKsT/LwC2kHQUETJnTnCA22aCUMoEXCxQP8CiglsDQIDAQAB",google,True,True
crbio-pr.gov.br,True,v=spf1 ip4:177.66.204.0/22 +a +mx ~all,True,True,v=DMARC1; p=none; rua=mailto:dmarc@datacentro.com.br; ruf=mailto:dmarc@datacentro.com.br; sp=none; aspf=s; fo=1,True,False,"v=DKIM1;k=rsa;p=MIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEAvH+1/QgSgwwSSZlQT/+nNnoOyKNJ8vU4BqoKVQCWuM2Zp49hiE99gvyG2Bwe5sjTl9zgVu5coMoiXdrUpf09e2EfEg78PO7n8vHCT7b/iqIsxOo4UE153HQYs/OEilJGro88ZKY/FCBrPj8qRWMsd3pdyTputvEE9m1JXeseEjwyzX8byyt1rjxcqqk1BSasPuq"" ""0GiyaIsMsbfMHsKZ5TF8qmyFC1yWHlnHkcXxMsVMiWDnHTk/OSrZRPl1kvuVqpr5jd7GxRKRxvhlJmS+/q24Zy4uZmeowAmKfAVvIPJDFW+oAc6HfcEc+jCB6KFArsByiGyB1ti9XWBTB7KacLQIDAQAB;",default,True,True
crbio-rs.gov.br,False,,False,False,,False,False,,,False,False
crbio-sc.gov.br,False,,False,False,,False,False,,,False,False
crbio01.gov.br,True,v=spf1 ip4:45.233.113.76  mx  a  include:_spf.maxx.mobi include:amazonses.com -all,True,True,v=DMARC1; p=none; rua=mailto:dmarc@crbio01.gov.br; ruf=mailto:dmarc-forensics@crbio01.gov.br; fo=1; adkim=s; aspf=s; pct=50; sp=reject;,True,True,"v=DKIM1; k=rsa; p=MIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEA62zSiu+dCWMQVWu1l2BhPG7EqCf5rNy3pat5gI+dzGbJ9SAiJ0j8sTSTs+b2SVhnJ2uwNLYa/3a93NwEVYwFPWjD36VXxrY8NLUPEBNSbfPG7AY0lSl3xg1+PlHlvqk7TbQGViHfuF9UtSqHJRsR5sLSJUsG0pH7liWP4ZIFRCMFmxjXTZ6Qt6o2XxmD2Oh82"" ""2TWaP75kqvGk8kZAuf73SGrpf+RxtbGdvnBmp25P4XQF4yH+xWGOf2LhqGQi1imfQRMwD3CdEeVUVb/ndhJC7/hLnmHSmIS9+FT1s0R3524QPcTk/ltGHj0epwhgRl9MVYkxtBuyN8sWvK2LKluzwIDAQAB;",default,True,False
crbio02.gov.br,True,v=spf1 ip4:186.209.113.152 include:spf-c.mailbaby.net include:spf.antispamcloud.com mx include:crbspf.crbio02.gov.br +a +mx ~all,True,True,v=DMARC1; p=none; rua=mailto:dmarc@crbio02.gov.br,True,False,"v=DKIM1; k=rsa; p=MIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEA447ROogo0KsCcRJGedZqn90XkM3dmieF6wVmFdmBWs3CCBNZPaFJ46nKVU3TmocrJdaOrgHVqbBFvi7GrH6DL1wPTJW0P9wzxDZKMNpF7IUkmqzvH+42afFCqG1cEFBTlX9QBKf1TzT6nrl4zLITtlydbTHUxw7pPZkTk7HfSenQUL13NCJ/g1VqejMtlWiGo"" ""GLlZj2GoayaJ12G3rm7ufrxx6Y3NJPGCM6XhuQxLvy7WL2UKJVD7BjP+VCN25h38DLqy5Hlb5XZJRwIZuZeab0csxARxyM0lKx0pF7cm+qYXen61778kALGK54YGD5OUzmUygy+6khHSUwwG1mp8QIDAQAB;",default,True,False
crbio03.gov.br,True,v=spf1 mx a a:apps.homemurbano.com.br ip4:65.109.111.240 include:spf.homemurbano.com.br include:spf.protection.outlook.com ~all,True,True,v=DMARC1;p=quarantine;sp=none;adkim=r;aspf=r;pct=100;fo=0;rf=afrf;ri=86400;rua=mailto:postmaster@crbio03.gov.br;ruf=mailto:postmaster@crbio03.gov.br,True,True,"v=DKIM1; k=rsa; p=MIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEAsgK5uTsqKivLD8YsUhob3mTQJvJBMsAzGamjLKVyYFxncVgLooPjiAdBZhvPRYmq9Ry9t9DIgvPWHJQcEVDrYNfd/DMGA7HkLcj8IvF9T6FVM91WO+P4q6PAlZUR8e4+x61bVetI4a1m3ayxsmoulIjwfF7xporSozTL7lM1Z4rrXCkBGK3VSpQ/k1mob18xr"" ""dacqXCPBEpd0n4/295g1uK3pz9r80ZQBU8RllHmjo4JE5emiSeTmCdS5PUxmG5evidjToYi/QqxOPtlwG0JUrjGVegHGy8pR62Dq8sRYCLhglIkKGw1nNTszGi372yS67VFE5mgqx42nSIFP7gAJQIDAQAB;",selector1,True,False
crbio04.gov.br,True,,False,False,,False,False,,,False,False
crbio05.gov.br,True,v=spf1 include:_spf.locaweb.com.br include:_spf.aremail.com.br -all,True,True,v=DMARC1; p=none;,True,False,v=DKIM1; k=rsa; p=MIGfMA0GCSqGSIb3DQEBAQUAA4GNADCBiQKBgQCY9Nh7dOhIWGeT3k0FbbuuJvSk8QhgvjCJwX4eUlGKMtT/yQNAVUPv/wrzqf5xgkf5d8x54G7LCC9Z2l8WavbOPQsAynsQOIfJecJCeC04vevMOBS4KCufM08pihngCGlVq4Dcd8SauinG+S18pvj1Itml5uXe5kR99xVisQfWfQIDAQAB,default,True,False
crbio06.gov.br,True,v=spf1 a mx ip4:187.77.229.60 -all,True,True,v=DMARC1; p=quarantine; rua=mailto:postmaster@crbio06.gov.br; pct=100,True,True,,,False,False
crbio07.gov.br,True,v=spf1 include:_spf.google.com ~all,True,True,v=DMARC1; p=quarantine; pct=100;,True,True,v=DKIM1; k=rsa; p=MIGfMA0GCSqGSIb3DQEBAQUAA4GNADCBiQKBgQCY9Nh7dOhIWGeT3k0FbbuuJvSk8QhgvjCJwX4eUlGKMtT/yQNAVUPv/wrzqf5xgkf5d8x54G7LCC9Z2l8WavbOPQsAynsQOIfJecJCeC04vevMOBS4KCufM08pihngCGlVq4Dcd8SauinG+S18pvj1Itml5uXe5kR99xVisQfWfQIDAQAB,default,True,True
crbio08.gov.br,True,v=spf1 include:_spf.rdstation.com.br include:sendgrid.net include:spf.whservidor.com ~all,True,True,v=DMARC1; p=none;,True,False,v=DKIM1; k=rsa; p=MIGfMA0GCSqGSIb3DQEBAQUAA4GNADCBiQKBgQCtqsj6BI7ckTGtDneDhlVd36U0Bi71+b/uRyFDyZdCl6TEkfkljO18UA1QZIuRG+9/6z6CjwzKcJU/aQvcYaUBob/cixztNTWPMLvCL+Dp3uH819/QEoDp6QV07e2bBAO3fpImt1pPG5pP3MJ/IKRShsK+ePT9EIEPi/boHMVdnQIDAQAB;,default,True,False
