post_title,country,website,group_name,activity,activity_classified,used_fallback,published,discovered,screenshot,post_url
Kondratoff Persick LLP,,kondratoff persick llp,bianlian,Not Found,Not Found,,2023-07-01 06:50:57.644061,2023-07-01 06:50:57.644094,https://images.ransomware.live/screenshots/posts/ce1eeb2781424a686f210dab6e0c8e91.png,http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/kpllp.ca/
**l***** C***********,,**l***** c***********,bianlian,Not Found,Not Found,,2023-07-01 06:50:59.889855,2023-07-01 06:50:59.889887,https://images.ransomware.live/screenshots/posts/9871e13234f0f17b65c10b6caee5695a.png,http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/v_________.com/
DVA - DVision Architecture,,dva - dvision architecture,ransomexx,Not Found,Not Found,,2023-07-01 10:59:11.697307,2023-07-01 10:59:11.697331,https://images.ransomware.live/screenshots/posts/58f19c8bc5471713cbb057fa6b72ceff.png,http://rnsm777cdsjrsdlbs4v5qoeppu3px6sb2igmh53jzrx7ipcrbjz5b2ad.onion/63c4335366d0aeb974587065e03783c58d605790/
Blount,US,blount,blackbasta,Not Found,Not Found,,2023-07-01 11:52:19.804502,2023-07-01 11:52:19.804525,https://images.ransomware.live/screenshots/posts/36284fe926df54c5bd0895a5e31e8126.png,http://stniiomyjliimcgkvdszvgen3eaaoz55hreqqx6o77yvmpwt7gklffqd.onion/?id=Blount%20Fine%20Foods
Blount Fine Foods,US,blount fine foods,blackbasta,Not Found,Not Found,,2023-07-01 12:54:18.897387,2023-07-01 12:54:18.897416,https://images.ransomware.live/screenshots/posts/36284fe926df54c5bd0895a5e31e8126.png,http://stniiomyjliimcgkvdszvgen3eaaoz55hreqqx6o77yvmpwt7gklffqd.onion/?id=Blount%20Fine%20Foods
Ashley HomeStore,,ashley homestore,mallox,Not Found,Not Found,,2023-07-01 16:21:00.000000,2023-07-01 14:00:04.538644,https://images.ransomware.live/screenshots/posts/39ef1b4b842c69cfea56d125c7d46d6c.png,http://wtyafjyhwqrgo4a45wdvvwhen3cx4euie73qvlhkhvlrexljoyuklaad.onion/mallox/post?Q1ZEQZr4COoAAg8
Atherfield Medical Service,AU,atherfield medical service,cyclops,Not Found,Not Found,,2023-06-29 14:33:29.000000,2023-07-01 15:26:28.166410,,
ALTARGRUP,,altargrup,cyclops,Not Found,Not Found,,2023-06-29 14:41:48.000000,2023-07-01 15:26:29.089304,,
Guatemala Military Intelligence Directorate,GT,guatemala military intelligence directorate,cyclops,Not Found,Not Found,,2023-06-30 00:33:44.000000,2023-07-01 15:26:29.969589,,
Ucamco Belgium,,ucamco belgium,medusalocker,Not Found,Not Found,,2023-07-02 09:53:51.000000,2023-07-02 11:00:42.805373,https://images.ransomware.live/screenshots/posts/cb0a34428452c895edfa0da479c5ce79.png,http://z6wkgghtoawog5noty5nxulmmt2zs7c3yvwr22v4czbffdoly2kl4uad.onion/?p=277
blowtherm.it,IT,blowtherm.it,lockbit,Not Found,Not Found,,2023-07-02 17:12:00.000000,2023-07-02 17:54:28.052916,https://images.ransomware.live/screenshots/posts/6a8ab19f0a6412efd27d8ec0cbe17b23.png,http://lockbitapt2d73krlbewgv27tquljgxr33xbwwsp6rkyieto7u4ncead.onion/post/O3qOMpag38rSBeU064a1b00a2fd61
Brett Martin,,brettmartin.com,blackbyte,Not Found,Not Found,,2023-07-03 00:00:18.242171,2023-07-03 00:00:18.242204,,
BM GROUP POLYTEC S.p.A.,,polytec.bmgroup.com,rhysida,Not Found,Not Found,,2023-07-03 01:02:05.591350,2023-07-03 01:02:05.591372,,
Luna Hotels & Resorts,PT,luna hotels & resorts,medusa,Not Found,Not Found,,2023-07-03 03:52:21.123450,2023-07-03 05:02:25.161335,https://images.ransomware.live/screenshots/posts/3a0b9faf4a86a06827eae88db7e8d5b9.png,http://medusaxko7jxtrojdkxo66j7ck4q5tgktf7uqsqyfry4ebnxlcbkccyd.onion/detail?id=8a20d7ddcb639e78d7ee6d1e2a380729
Mutuelle LMP,,mutuelle lmp,medusa,Not Found,Not Found,,2023-07-03 03:51:24.123450,2023-07-03 05:02:27.129929,https://images.ransomware.live/screenshots/posts/1d38ff110f50e64b60ddc24f518ae034.png,http://medusaxko7jxtrojdkxo66j7ck4q5tgktf7uqsqyfry4ebnxlcbkccyd.onion/detail?id=d346732d78cf65fe7079f74f7904cc71
Hollywood Forever,,hollywoodforever.com,rhysida,Not Found,Not Found,,2023-07-03 10:06:47.147390,2023-07-03 10:06:47.147436,,
Ayuntamiento de Arganda City Council,,ayto-arganda.es,rhysida,Not Found,Not Found,,2023-07-03 11:04:59.477518,2023-07-03 11:04:59.477540,,
snjb.net,JO,snjb.net,lockbit,Not Found,Not Found,,2023-07-03 13:43:00.000000,2023-07-03 14:55:04.165958,https://images.ransomware.live/screenshots/posts/6c976425a4415f3ad03daeaeeff78c02.png,http://lockbitapt2d73krlbewgv27tquljgxr33xbwwsp6rkyieto7u4ncead.onion/post/VR9ZdEMr5e39qypQ64a2d07d0d664
Jefferson County Health Center,,jefferson county health center,karakurt,Not Found,Not Found,,2023-07-03 16:01:40.594070,2023-07-03 16:01:40.594099,https://images.ransomware.live/screenshots/posts/a1732fa2bc54b60866b2ebc94eb3954a.png,https://3f7nxkjway3d223j27lyad7v5cgmyaifesycvmwq7i7cbs23lb6llryd.onion/companies/afe404cd-f945-42e6-9417-3e35ccda901f
**** I******** *********,,**** i******** *********,bianlian,Not Found,Not Found,,2023-07-03 17:03:36.667585,2023-07-03 17:03:36.667619,https://images.ransomware.live/screenshots/posts/4657ecae161cbcc9ff227b12c1baa20c.png,http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/e____________.com/
Yunus Emre Institute Turkey,,yunus emre institute turkey,medusa,Not Found,Not Found,,2023-07-04 18:34:38.123450,2023-07-04 19:05:25.954589,https://images.ransomware.live/screenshots/posts/ab6835c4cf80cf5c5a7fb681293e1e12.png,http://medusaxko7jxtrojdkxo66j7ck4q5tgktf7uqsqyfry4ebnxlcbkccyd.onion/detail?id=6824a7a4ff6ce4754629b601ee30d4d0
Hoosier Equipment company,,hoosier equipment company,medusalocker,Not Found,Not Found,,2023-07-04 21:18:58.000000,2023-07-04 22:02:52.117553,https://images.ransomware.live/screenshots/posts/e327d9a67253efb531e2ff6acbe94174.png,http://z6wkgghtoawog5noty5nxulmmt2zs7c3yvwr22v4czbffdoly2kl4uad.onion/?p=284
mitr.com,,mitr.com,lockbit,Not Found,Not Found,,2023-07-05 08:52:00.000000,2023-07-05 09:55:54.581512,https://images.ransomware.live/screenshots/posts/31b5c49f845561a845068f2c47749814.png,http://lockbitapt2d73krlbewgv27tquljgxr33xbwwsp6rkyieto7u4ncead.onion/post/rPc9Ja0k8xPSkq5L64a52f60897bf
recamlaser.com,,recamlaser.com,lockbit,Not Found,Not Found,,2023-07-05 09:42:00.000000,2023-07-05 10:59:05.014474,https://images.ransomware.live/screenshots/posts/0b16352644b4a1059cdb85fdedd60cfe.png,http://lockbitapt2d73krlbewgv27tquljgxr33xbwwsp6rkyieto7u4ncead.onion/post/Yhg83JG1Id2zMHkW64a53af654668
eurosupport.com,,eurosupport.com,lockbit,Not Found,Not Found,,2023-07-05 09:37:00.000000,2023-07-05 10:59:56.915815,https://images.ransomware.live/screenshots/posts/c820d9e5074f4ca5afbb081937e718cb.png,http://lockbitapt2d73krlbewgv27tquljgxr33xbwwsp6rkyieto7u4ncead.onion/post/am0hKWO5pFglVS8T64a539dbd31e0
Murphy,,murphy,akira,Not Found,Not Found,,2023-07-05 01:02:03.456789,2023-07-05 12:49:39.532216,,
guestgroup.com.au,AU,guestgroup.com.au,lockbit,Not Found,Not Found,,2023-07-03 15:07:00.000000,2023-07-05 12:49:50.962989,https://images.ransomware.live/screenshots/posts/1ead62c8a384f4154d194fa689a730ee.png,http://lockbitapt2d73krlbewgv27tquljgxr33xbwwsp6rkyieto7u4ncead.onion/post/fqohjsppQ79pveZZ64a2e42b3da63
Portugal Scotturb Data Leaked,,portugal scotturb data leaked,ragnarlocker,Not Found,Not Found,,2023-07-05 12:37:35.000000,2023-07-05 13:58:07.300500,https://images.ransomware.live/screenshots/posts/36c3d8130b066e346ce3ceadec318f57.png,http://rgleaktxuey67yrgspmhvtnrqtgogur35lwdrup4d3igtbm3pupc4lyd.onion/?btbb9BoNySfA0kS
Avalign Technologies,,avalign.com,blackbyte,Not Found,Not Found,,2023-07-05 17:59:26.111084,2023-07-05 17:59:26.111104,,
ZooTampa at Lowry Park,,zootampa.org,blacksuit,Not Found,Not Found,,2023-07-05 20:00:16.743642,2023-07-05 20:00:16.743666,https://images.ransomware.live/screenshots/posts/f090d9baf5a35d54e51fa131fe4c437c.png,http://weg7sdx54bevnvulapqu6bpzwztryeflq3s23tegbmnhkbpqz637f2yd.onion/?id=HHWSWzPatbqfTxTB
DURR.COM,,durr.com,clop,Not Found,Not Found,,2023-07-05 23:06:55.336360,2023-07-05 23:06:55.336392,https://images.ransomware.live/screenshots/posts/c740fdb853bfbb3b3020de19e9b3aa03.png,http://santat7kpllt6iyvqbr7q4amdv6dzrh6paatvyrzl7ry3zm72zigf4ad.onion/durr-com
BARRICK.COM,,barrick.com,clop,Not Found,Not Found,,2023-07-05 23:07:24.266746,2023-07-05 23:07:24.266789,https://images.ransomware.live/screenshots/posts/225c5662e5a2e457feb86efbcd594f15.png,http://santat7kpllt6iyvqbr7q4amdv6dzrh6paatvyrzl7ry3zm72zigf4ad.onion/barrick-com
BRADYID.COM,,bradyid.com,clop,Not Found,Not Found,,2023-07-05 23:07:50.343876,2023-07-05 23:07:50.343915,https://images.ransomware.live/screenshots/posts/943e219fc01d1ebe2fc1c1d007e8ecf0.png,http://santat7kpllt6iyvqbr7q4amdv6dzrh6paatvyrzl7ry3zm72zigf4ad.onion/bradyid-com
TDECU.ORG,,tdecu.org,clop,Not Found,Not Found,,2023-07-05 23:08:15.183528,2023-07-05 23:08:15.183549,https://images.ransomware.live/screenshots/posts/538a676bcd643e26026251eda39ddfdf.png,http://santat7kpllt6iyvqbr7q4amdv6dzrh6paatvyrzl7ry3zm72zigf4ad.onion/tdecu-org
UNITEDREGIONAL.ORG,,unitedregional.org,clop,Not Found,Not Found,,2023-07-05 23:08:39.489758,2023-07-05 23:08:39.489779,https://images.ransomware.live/screenshots/posts/143f69173374c31a551152915d622aab.png,http://santat7kpllt6iyvqbr7q4amdv6dzrh6paatvyrzl7ry3zm72zigf4ad.onion/unitedregional-org
KYBURZDRUCK.CH,CH,kyburzdruck.ch,clop,Not Found,Not Found,,2023-07-05 23:09:02.988577,2023-07-05 23:09:02.988623,https://images.ransomware.live/screenshots/posts/37560d6b660bb226f4565b6fc36048f5.png,http://santat7kpllt6iyvqbr7q4amdv6dzrh6paatvyrzl7ry3zm72zigf4ad.onion/kyburzdruck-ch
CIENA.COM,,ciena.com,clop,Not Found,Not Found,,2023-07-05 23:09:27.333928,2023-07-05 23:09:27.333947,https://images.ransomware.live/screenshots/posts/29041c9fc82c7e50cdd9bbda2a8657d7.png,http://santat7kpllt6iyvqbr7q4amdv6dzrh6paatvyrzl7ry3zm72zigf4ad.onion/ciena-com
NORGREN.COM,,norgren.com,clop,Not Found,Not Found,,2023-07-05 23:09:50.719123,2023-07-05 23:09:50.719147,https://images.ransomware.live/screenshots/posts/afee8f6ad53b84dbc424c2581588de62.png,http://santat7kpllt6iyvqbr7q4amdv6dzrh6paatvyrzl7ry3zm72zigf4ad.onion/norgren-com
MERATIVE.COM,,merative.com,clop,Not Found,Not Found,,2023-07-05 23:10:14.770577,2023-07-05 23:10:14.770624,https://images.ransomware.live/screenshots/posts/c0af0a9984d7e78f317ea3bc53118c6d.png,http://santat7kpllt6iyvqbr7q4amdv6dzrh6paatvyrzl7ry3zm72zigf4ad.onion/merative-com
QUORUMFCU.ORG,,quorumfcu.org,clop,Not Found,Not Found,,2023-07-05 23:10:40.363138,2023-07-05 23:10:40.363161,https://images.ransomware.live/screenshots/posts/095df747acba82a880809b28bb548374.png,http://santat7kpllt6iyvqbr7q4amdv6dzrh6paatvyrzl7ry3zm72zigf4ad.onion/quorumfcu-org
TRANSPERFECT.COM,,transperfect.com,clop,Not Found,Not Found,,2023-07-05 23:11:04.759866,2023-07-05 23:11:04.759884,https://images.ransomware.live/screenshots/posts/b01e57e66a295fb68a71c1992d175aa8.png,http://santat7kpllt6iyvqbr7q4amdv6dzrh6paatvyrzl7ry3zm72zigf4ad.onion/transperfect-com
ASIC Soluciones,,asicamericas.com,qilin,Not Found,Not Found,,2023-07-06 11:01:30.590248,2023-07-06 11:01:30.590270,,
Pinnergy,MX,pinnergy,akira,Not Found,Not Found,,2023-07-06 01:02:03.456789,2023-07-06 13:53:30.413529,,
siegfried.com.mx,MX,siegfried.com.mx,lockbit,Not Found,Not Found,,2023-07-06 15:20:00.000000,2023-07-06 15:55:14.719047,https://images.ransomware.live/screenshots/posts/e5b469e5d3b327ad1d294dab750ec822.png,http://lockbitapt2d73krlbewgv27tquljgxr33xbwwsp6rkyieto7u4ncead.onion/post/oUjp7TP8raOb7qbL64a6dba431f29
gacegypt.net,EG,gacegypt.net,lockbit,Not Found,Not Found,,2023-07-06 15:16:00.000000,2023-07-06 15:55:41.566917,https://images.ransomware.live/screenshots/posts/4b259ac2197a5bc8ea4911e699b5f4da.png,http://lockbitapt2d73krlbewgv27tquljgxr33xbwwsp6rkyieto7u4ncead.onion/post/wUcmG0I5AWRFH2uW64a6daea95fdb
cls-group.com,,cls-group.com,lockbit,Not Found,Not Found,,2023-07-06 15:12:00.000000,2023-07-06 15:56:07.025708,https://images.ransomware.live/screenshots/posts/07a5b7d5267a6504971a6e6d1bc757e0.png,http://lockbitapt2d73krlbewgv27tquljgxr33xbwwsp6rkyieto7u4ncead.onion/post/bg2wNXi0Yq2b1ALV64a6d9e648721
chasc.org,,chasc.org,lockbit,Not Found,Not Found,,2023-07-06 15:06:00.000000,2023-07-06 15:56:32.480671,https://images.ransomware.live/screenshots/posts/168560d1294512460d7b9c8bf153812c.png,http://lockbitapt2d73krlbewgv27tquljgxr33xbwwsp6rkyieto7u4ncead.onion/post/1NRQCIrOqC4gMe3J64a6d889e39ad
A** **************,IN,a** **************,bianlian,Not Found,Not Found,,2023-07-06 18:56:10.219357,2023-07-06 18:56:10.219378,https://images.ransomware.live/screenshots/posts/cf6acd61478f98ff6187f1e137c04fa7.png,http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/a________.com/
Ella Insurance Brokerage,,ella insurance brokerage,bianlian,Not Found,Not Found,,2023-07-06 18:56:36.666084,2023-07-06 18:56:36.666104,https://images.ransomware.live/screenshots/posts/2f5ceab1f402e4fa4e6a2b5b695f5636.png,http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/ellabrokerage.com/
Carvin Software,,carvin software,bianlian,Not Found,Not Found,,2023-07-06 18:57:03.352304,2023-07-06 18:57:03.352337,https://images.ransomware.live/screenshots/posts/52fb8c67020396563f8cf090e5fa4956.png,http://bianlianlbc5an4kgnay3opdemgcryg2kpfcbgczopmm3dnbz3uaunad.onion/companies/carvinsoftware.com/
Safety Network,US,safetynetworkinc.com,play,Not Found,Not Found,,2023-07-06 21:02:45.898153,2023-07-06 21:02:45.898176,https://images.ransomware.live/screenshots/posts/43d012928c8eff414cd96500cc520c05.png,http://mbrlkbtq5jonaqkurjwmxftytyn2ethqvbxfu4rgjbkkknndqwae6byd.onion/topic.php?id=fRDISWXN6HXigV
Capacity LLC,US,capacityllc.com,play,Not Found,Not Found,,2023-07-06 21:02:46.839271,2023-07-06 21:02:46.839293,https://images.ransomware.live/screenshots/posts/5a2577d36f43f82e4bf10f61cee8493e.png,http://mbrlkbtq5jonaqkurjwmxftytyn2ethqvbxfu4rgjbkkknndqwae6byd.onion/topic.php?id=3Xr2jYhmg0LWC
Betty Lou's,US,bettylousinc.com,play,Not Found,Not Found,,2023-07-06 21:14:29.824368,2023-07-06 21:14:29.824402,https://images.ransomware.live/screenshots/posts/f9623d987c2d504126dfb017b30de55d.png,http://mbrlkbtq5jonaqkurjwmxftytyn2ethqvbxfu4rgjbkkknndqwae6byd.onion/topic.php?id=xdImOMygmgMfhG
MUJI Europe Holdings Limited,,muji.eu,play,Not Found,Not Found,,2023-07-06 21:14:30.620600,2023-07-06 21:14:30.620623,https://images.ransomware.live/screenshots/posts/93e184f87e0b2586eec3472f39c4c6ea.png,http://mbrlkbtq5jonaqkurjwmxftytyn2ethqvbxfu4rgjbkkknndqwae6byd.onion/topic.php?id=ki8yMnA45AmuCz
Geneva Software,US,genevasi.com,play,Not Found,Not Found,,2023-07-06 21:14:31.411556,2023-07-06 21:14:31.411579,https://images.ransomware.live/screenshots/posts/6c7c5748fd46eb79ad3dac352c774dc9.png,http://mbrlkbtq5jonaqkurjwmxftytyn2ethqvbxfu4rgjbkkknndqwae6byd.onion/topic.php?id=G689sV9cShpXBr
Uniquify,US,uniquify.com,play,Not Found,Not Found,,2023-07-06 22:03:21.216951,2023-07-06 22:03:21.216974,https://images.ransomware.live/screenshots/posts/4ed01463f681e16368cf178004ec5176.png,http://mbrlkbtq5jonaqkurjwmxftytyn2ethqvbxfu4rgjbkkknndqwae6byd.onion/topic.php?id=3vnjr3BOD8xc9
NST Attorneys at Law,US,nstlaw.com,play,Not Found,Not Found,,2023-07-06 22:03:22.089007,2023-07-06 22:03:22.089028,https://images.ransomware.live/screenshots/posts/a5f0d33d42948fc04ae7c4aab37f18c3.png,http://mbrlkbtq5jonaqkurjwmxftytyn2ethqvbxfu4rgjbkkknndqwae6byd.onion/topic.php?id=XmdwJH5H2u2B5n
NEWERATECH.COM,,neweratech.com,clop,Not Found,Not Found,,2023-07-06 23:21:04.235732,2023-07-06 23:21:04.235754,,http://santat7kpllt6iyvqbr7q4amdv6dzrh6paatvyrzl7ry3zm72zigf4ad.onion/neweratech-com
BANKWITHUNITED.COM,,bankwithunited.com,clop,Not Found,Not Found,,2023-07-06 23:21:37.419421,2023-07-06 23:21:37.419481,,http://santat7kpllt6iyvqbr7q4amdv6dzrh6paatvyrzl7ry3zm72zigf4ad.onion/bankwithunited-com
CADENCEBANK.COM,,cadencebank.com,clop,Not Found,Not Found,,2023-07-06 23:22:14.492877,2023-07-06 23:22:14.492902,,http://santat7kpllt6iyvqbr7q4amdv6dzrh6paatvyrzl7ry3zm72zigf4ad.onion/cadencebank-com
WOLTERSKLUWER.COM,,wolterskluwer.com,clop,Not Found,Not Found,,2023-07-06 23:22:47.713046,2023-07-06 23:22:47.713093,,http://santat7kpllt6iyvqbr7q4amdv6dzrh6paatvyrzl7ry3zm72zigf4ad.onion/wolterskluwer-com
NETSCOUT.COM,,netscout.com,clop,Not Found,Not Found,,2023-07-06 23:23:20.219037,2023-07-06 23:23:20.219061,,http://santat7kpllt6iyvqbr7q4amdv6dzrh6paatvyrzl7ry3zm72zigf4ad.onion/netscout-com
PAYCOR.COM,,paycor.com,clop,Not Found,Not Found,,2023-07-06 23:23:53.971262,2023-07-06 23:23:53.971285,,http://santat7kpllt6iyvqbr7q4amdv6dzrh6paatvyrzl7ry3zm72zigf4ad.onion/paycor-com
ENERGYTRANSFER.COM,,energytransfer.com,clop,Not Found,Not Found,,2023-07-06 23:24:28.734019,2023-07-06 23:24:28.734066,,http://santat7kpllt6iyvqbr7q4amdv6dzrh6paatvyrzl7ry3zm72zigf4ad.onion/energytransfer-com
DELARUE.COM,,delarue.com,clop,Not Found,Not Found,,2023-07-06 23:25:01.941680,2023-07-06 23:25:01.941711,,http://santat7kpllt6iyvqbr7q4amdv6dzrh6paatvyrzl7ry3zm72zigf4ad.onion/delarue-com
Lawer SpA,IT,lawer.com,play,Not Found,Not Found,,2023-07-07 00:01:14.086910,2023-07-07 00:01:14.086934,https://images.ransomware.live/screenshots/posts/c47eef27b877121cd9a1bdeade82fd51.png,http://mbrlkbtq5jonaqkurjwmxftytyn2ethqvbxfu4rgjbkkknndqwae6byd.onion/topic.php?id=nUl48XKqskJ8td
Indiana Dimension,US,indianadimension.com,play,Not Found,Not Found,,2023-07-07 00:01:14.988858,2023-07-07 00:01:14.988882,https://images.ransomware.live/screenshots/posts/d8a455140303b7a1fa4e272b99d5d4d4.png,http://mbrlkbtq5jonaqkurjwmxftytyn2ethqvbxfu4rgjbkkknndqwae6byd.onion/topic.php?id=l4EiXL954hM30m
Star Island Resort,US,star-island.com,play,Not Found,Not Found,,2023-07-07 00:01:15.450574,2023-07-07 00:01:15.450596,https://images.ransomware.live/screenshots/posts/a4789357335d02bf354c3d4879d48269.png,http://mbrlkbtq5jonaqkurjwmxftytyn2ethqvbxfu4rgjbkkknndqwae6byd.onion/topic.php?id=liwovNCb2zwKJl
Lazer Tow,US,lazertow.com,play,Not Found,Not Found,,2023-07-07 00:01:16.319786,2023-07-07 00:01:16.319814,https://images.ransomware.live/screenshots/posts/c47eef27b877121cd9a1bdeade82fd51.png,http://mbrlkbtq5jonaqkurjwmxftytyn2ethqvbxfu4rgjbkkknndqwae6byd.onion/topic.php?id=nUl48XKqskJ8td
Kenya Bureau Of Standards,KE,kebs.org,rhysida,Not Found,Not Found,,2023-07-07 03:01:53.095617,2023-07-07 03:01:53.095640,,
TDAMERITRADE.COM,,tdameritrade.com,clop,Not Found,Not Found,,2023-07-07 16:21:02.655130,2023-07-07 16:21:02.655165,https://images.ransomware.live/screenshots/posts/bcecc8e3a988bae34acc774ed0bd312a.png,http://santat7kpllt6iyvqbr7q4amdv6dzrh6paatvyrzl7ry3zm72zigf4ad.onion/tdameritrade-com
L8SOLUTIONS.CO.UK,GB,l8solutions.co.uk,clop,Not Found,Not Found,,2023-07-07 16:21:27.213419,2023-07-07 16:21:27.213438,https://images.ransomware.live/screenshots/posts/c25c32f21c6fa94929dc0d18a0d9488f.png,http://santat7kpllt6iyvqbr7q4amdv6dzrh6paatvyrzl7ry3zm72zigf4ad.onion/l8solutions-co-uk
UOFLHEALTH.ORG,IN,uoflhealth.org,clop,Not Found,Not Found,,2023-07-07 16:21:52.708186,2023-07-07 16:21:52.708214,https://images.ransomware.live/screenshots/posts/334c1a5e966a5627ef9f31cb1370f820.png,http://santat7kpllt6iyvqbr7q4amdv6dzrh6paatvyrzl7ry3zm72zigf4ad.onion/uoflhealth-org
KERNAGENCY.COM,,kernagency.com,clop,Not Found,Not Found,,2023-07-07 16:22:16.357963,2023-07-07 16:22:16.357986,https://images.ransomware.live/screenshots/posts/4b9068564e4a0898d0b31a93839aab9b.png,http://santat7kpllt6iyvqbr7q4amdv6dzrh6paatvyrzl7ry3zm72zigf4ad.onion/kernagency-com
FISCDP.COM,,fiscdp.com,clop,Not Found,Not Found,,2023-07-07 16:22:51.004325,2023-07-07 16:22:51.004349,https://images.ransomware.live/screenshots/posts/58aeee5374ec60ed7f1ff4576818a167.png,http://santat7kpllt6iyvqbr7q4amdv6dzrh6paatvyrzl7ry3zm72zigf4ad.onion/fiscdp-com
MARYKAY.COM,,marykay.com,clop,Not Found,Not Found,,2023-07-07 16:23:15.358938,2023-07-07 16:23:15.358958,https://images.ransomware.live/screenshots/posts/bb08739bdb01a9880734ee7ef60baf27.png,http://santat7kpllt6iyvqbr7q4amdv6dzrh6paatvyrzl7ry3zm72zigf4ad.onion/marykay-com
CYTOMX.COM,,cytomx.com,clop,Not Found,Not Found,,2023-07-07 16:23:40.327502,2023-07-07 16:23:40.327536,https://images.ransomware.live/screenshots/posts/6b5b5f77da67dc7a4618701966784686.png,http://santat7kpllt6iyvqbr7q4amdv6dzrh6paatvyrzl7ry3zm72zigf4ad.onion/cytomx-com
USG.EDU,US,usg.edu,clop,Not Found,Not Found,,2023-07-07 16:24:05.986954,2023-07-07 16:24:05.986979,https://images.ransomware.live/screenshots/posts/34275cf646fcdfac1435a3635ad10e04.png,http://santat7kpllt6iyvqbr7q4amdv6dzrh6paatvyrzl7ry3zm72zigf4ad.onion/usg-edu
AMERICANNATIONAL.COM,,americannational.com,clop,Not Found,Not Found,,2023-07-07 16:24:30.444812,2023-07-07 16:24:30.444867,https://images.ransomware.live/screenshots/posts/360b0e57e737f67d1d5524e1a0233e90.png,http://santat7kpllt6iyvqbr7q4amdv6dzrh6paatvyrzl7ry3zm72zigf4ad.onion/americannational-com
BCDTRAVEL.COM,,bcdtravel.com,clop,Not Found,Not Found,,2023-07-07 16:24:54.160958,2023-07-07 16:24:54.160985,https://images.ransomware.live/screenshots/posts/cf675b717bbe0feae8db895edddcf65c.png,http://santat7kpllt6iyvqbr7q4amdv6dzrh6paatvyrzl7ry3zm72zigf4ad.onion/bcdtravel-com
AUTOZONE.COM,,autozone.com,clop,Not Found,Not Found,,2023-07-07 16:25:27.369281,2023-07-07 16:25:27.369312,https://images.ransomware.live/screenshots/posts/335cd21ac8bb3cad5aa8df4a6259244a.png,http://santat7kpllt6iyvqbr7q4amdv6dzrh6paatvyrzl7ry3zm72zigf4ad.onion/autozone-com
CROWE.COM,,crowe.com,clop,Not Found,Not Found,,2023-07-07 16:25:50.592281,2023-07-07 16:25:50.592334,https://images.ransomware.live/screenshots/posts/ac97df3bf6b8668ef6d61062b1ffcafe.png,http://santat7kpllt6iyvqbr7q4amdv6dzrh6paatvyrzl7ry3zm72zigf4ad.onion/crowe-com
Industrial Heat Transfer (iht-inc.com),,industrial heat transfer (iht-inc.com),rancoz,Not Found,Not Found,,2023-07-07 20:05:19.512873,2023-07-07 20:05:19.512894,https://images.ransomware.live/screenshots/posts/899fc8aaa62a9c45dd6a71966e8824e1.png,http://ze677xuzard4lx4iul2yzf5ks4gqqzoulgj5u4n5n4bbbsxjbfr7eayd.onion/post/4.html
ROBERT L BAYLESS PRODUCER LLC,MX,robert l bayless producer llc,8base,Not Found,Not Found,,2023-07-07 00:00:00.000000,2023-07-07 20:44:23.465464,https://images.ransomware.live/screenshots/posts/27407de7bce8c8f3dcc55c3b194e0453.png,http://basemmnnqwxevlymli5bs36o5ynti55xojzvn246spahniugwkff2pad.onion/company/7890165
"New Century Advisors, LLC",,"new century advisors, llc",8base,Not Found,Not Found,,2023-07-07 00:00:00.000000,2023-07-07 20:50:09.304386,https://images.ransomware.live/screenshots/posts/673ce998a4829f4dbef2e55e3c8bd8b4.png,http://basemmnnqwxevlymli5bs36o5ynti55xojzvn246spahniugwkff2pad.onion/company/7890166
Lane Valente Industries,CA,canadalvi.com,play,Not Found,Not Found,,2023-07-07 21:04:23.337106,2023-07-07 21:04:23.337131,https://images.ransomware.live/screenshots/posts/7d214c52a955cafcf31afa1330615fa5.png,http://mbrlkbtq5jonaqkurjwmxftytyn2ethqvbxfu4rgjbkkknndqwae6byd.onion/topic.php?id=jKNS8rSrzzhUUc
Tracker de Colombia SAS,,tracker de colombia sas,medusa,Not Found,Not Found,,2023-07-07 16:13:06.123450,2023-07-08 15:04:25.738074,https://images.ransomware.live/screenshots/posts/ef69b14981c2067dd0d4e9e1248ddfe5.png,http://medusaxko7jxtrojdkxo66j7ck4q5tgktf7uqsqyfry4ebnxlcbkccyd.onion/detail?id=de46dbe68d42654db53fc4e67298f5d3
Cabra Consulting Ltd,,cabra consulting ltd,8base,Not Found,Not Found,,2023-07-08 00:00:00.000000,2023-07-09 06:06:59.457853,https://images.ransomware.live/screenshots/posts/e367fef31f9bf30bd81a46f884eab0f7.png,http://basemmnnqwxevlymli5bs36o5ynti55xojzvn246spahniugwkff2pad.onion/company/7890167
